MAG	Taxonomy	Domain	Completeness_checkm	Contamination_checkm	Completeness_DasTool	Contamination_DasTool	Numer of genomoes in dRep cluster	fccB	sulfide_quinone_oxidoreductase_sqr	sulfur_dioxygenase_sdo	aprA	sat	cysC	cysN	thiosulfate_reductase_phsA	dsrA	dsrB	dsrC	dsrD	dsrE	dsrF	dsrH	dsrJ	dsrK	dsrM	dsrO	dsrP	dsrR	dsrS	dsrT	soxA	soxB	soxD	soxX	soxY	soxYZ-like	soxZ	FeFeHydrogenase	FeFeHydrogenase_2	Hydrogenase_Group_1	Hydrogenase_Group_2a	Hydrogenase_Group_2b	Hydrogenase_Group_3b	Hydrogenase_Group_3c	Hydrogenase_Group_3d	Hydrogenase_Group_4	pmoA	pmoB	pmoC	mmoB	mmoD	mcrA	mcrB	mcrC	amoA	Archeael_amoB	Archeael_amoC	nifA_Mo	nifB_Mo	nifH	nitrite_oxidoreductase_nxrA	nitrite_oxidoreductase_nxrB	napA	napB	narG	narH	nrfH	nrfA	nirB	nirD	nirK	nitrite_reductase_nirS	nitric_oxide_reductase_norB	nitric_oxide_reductase_norC	nosD	nosZ	hydrazine_oxidase_hzoA	hydrazine_synthase_hzsA	octR	ureA	ureB	ureC	coxA	coxB	ccoN	ccoO	ccoP	cyoA	cyoD	cyoE	cydA	cydB	qoxA	ndma_methanol_dehydrogenase	madA	madB	fdh_thiol_id	sfh	sgdh	smdh	fae	fmtf	mtmc	fdhA	fdhB	fdhC	carbon_monoxide_dehydrogenase_coxL	carbon_monoxide_dehydrogenase_coxM	carbon_monoxide_dehydrogenase_coxS	rubisco_form_I	rubisco_form_II	rubisco_form_II_III	rubisco_form_III	rubisco_form_IV	Four-hydroxybutyryl-CoA-dehydratase	Four-hydroxybutyryl-CoA-synthetase	codhC	codhD	codh_catalytic	acetate_citrate_lyase_aclA	acetate_citrate_lyase_aclB	hdh	rdh	cld	ars_ox	ars_ox_2	arsC	ars_thioredoxin	ars_glutaredoxin	ygfK	ygfM	sel_mo	nthA	nthB	mtrA	mtrC
K_Offshore_80m_m2_039	Deltaproteobacteria	Bacteria	60.58	6.69	78.43	5.88	1			2			1	1																																																		1					1	1																	2																											1	2																					
K_DeepCast_300m_m2_247	Deltaproteobacteria	Bacteria	96.65	3.23	100	3.92	5			2	2	1			1	1	1	1	1				1	1	1	1	1			1													1	1																			1				2	2																							1	1												2		1								1		4	1		3									2								
K_Offshore_80m_m2_194	Deltaproteobacteria	Bacteria	96.64	3.36	100	2.63	3	1	1	2			1	1																	1			1			1										1		1	1																			1	1			2							2	2	2	2	2						1									1					2			2	1						1	6	1						1		1									3	1		
K_DeepCast_65m_m2_035	Deltaproteobacteria	Bacteria	96	4.19	100	5.88	6			2		1	1																					2									1																									1	1	1				1									2	3		1	1			1					1	1			1								1	1	1							4						1		1			1						1	1		
K_Offshore_80m_m2_211	Deltaproteobacteria	Bacteria	95.35	4.46	100	5.88	5			2		1	1																					1									1																									1	1	1				1									2	2			1			1					1	1			1		1						2	1	1					3	1	7						1		1			1									
K_DeepCast_150m_m1_110	Deltaproteobacteria	Bacteria	95.16	4.52	96.08	2.63	8			1					1	1	1	1	1				1	1	2	1	1			1								1		2			1																									1																																				2	1	1	5	8	7						9	10		1	3	1	1		2					1								
K_Offshore_120m_mx_162	Deltaproteobacteria	Bacteria	94.62	1.94	100	1.96	12		1	2		1	1																				1																																											1														1									1		1						1	1	2					2	2							2					1						1	1		
K_DeepCast_65m_m1_217	Deltaproteobacteria	Bacteria	52.92	6.61	64.71	2.63	1	1	1	1				1																				1																											1													1						1	1	1	1	1						1															1		6	8	9						3	1								1				1					1			
M_DeepCast_65m_m2_104	Deltaproteobacteria	Bacteria	92.68	3.78	90.2	5.88	1		1	1		1	1																																																2	1	2	2							1				1	1								1	1	1	2			1														1			1	1						1																						
K_Offshore_120m_m2_196	Deltaproteobacteria	Bacteria	92.38	4.2	98.04	2.63	6		1	1																								1																																																			1	1				1								1	1									1						1		2																				
K_DeepCast_35m_m2_009	Deltaproteobacteria	Bacteria	92.26	1.29	98.04	5.26	4							2																				1																																																					1			1																		1																			1									
K_DeepCast_100m_m2_268	Deltaproteobacteria	Bacteria	92.22	1.94	100	1.96	3			2			2	1																																																	1	1				1	1		1	1	1		1	1											1			2					1	1			1					1		1	3	1	3					1	2	1						1														
K_DeepCast_300m_m2_211	Deltaproteobacteria	Bacteria	95.48	6.29	98.04	2.63	2		2	1	3	1			1	1	1	1	1				1	1	1	1	1			1										1			1	1																							1	2																			1																	1		1								1		5	1	1	3									1								
K_DeepCast_150m_m2_072	Deltaproteobacteria	Bacteria	95.48	15.16	100	5.26	1		2	2	2	1				2	2	1	2				2	1	1	1	1			1										1			1	1																							1	2																			1																	1		1								1		7	1	1	5									2		1						
M_DeepCast_400m_m2_239	Deltaproteobacteria	Bacteria	95.48	15.96	96.08	10.53	5			1		1			1	1	1	1	1				1	1	1	1	1			1																																						2						1																														2			13	19	18						8	18	1		1				6							2	1					1
K_DeepCast_1200m_m2_116	Deltaproteobacteria	Bacteria	93.87	19.74	100	5.88	1		2	2	2	1				2	1	1	1				1	1	1					1										1			1	2																							1	2																			1																	1		1								1		6	1	1	4									1		1						
K_DeepCast_250m_m2_131	Deltaproteobacteria	Bacteria	71.32	17.66	84.31	25.49	1			1	1					1	2	2	2				1	1		1	1			1													1																									2																																				1	1	1	2	3	2						14	5		2	1																	
K_DeepCast_100m_mx_320	Deltaproteobacteria	Bacteria	43.67	5.63	50.98	5.88	1		1	1	1					1	1													1																																																																																				1	3	3	2		1																	
K_DeepCast_35m_m1_088	Deltaproteobacteria	Bacteria	91.36	0.97	96.08	3.92	3																																																																																			1																								1		1																				
K_DeepCast_300m_m2_069	Deltaproteobacteria	Bacteria	90.54	21.72	90.2	7.89	1			3		2			2								1	1	1	1	1			1				2																																		2					2	3									2	2						2														1		1	3	10	10						4	15	2	1	3				2					1		1	2					1
M_DeepCast_400m_m2_273	Deltaproteobacteria	Bacteria	88.46	10.92	98.04	7.89	1			1		1			2																																																					2					1	2									1	2						2																	2	5	5					1	5	12	1						2							1						
M_DeepCast_200m_m1_279	Deltaproteobacteria	Bacteria	86.32	11.99	98.04	9.8	1			1		1																																2																								2					1	1									2	2						2																	1	3	4						7	8	1						2					2	1	1						
K_DeepCast_250m_m2_089	Deltaproteobacteria	Bacteria	85.93	13.4	90.2	7.89	1			1					1																																																					2					1	2									2	2						2														1			1	2	1						5	8	1						3							1						
K_DeepCast_300m_m2_165	Deltaproteobacteria	Bacteria	85.24	11.63	86.27	5.26	1			1		1			1			1																																																		3					1	2									2	2						2																	1	5	4						7	12	2						3					1		1						
K_DeepCast_150m_m2_257	Deltaproteobacteria	Bacteria	81.45	8.41	96.08	3.92	1			1																																																										3					1	2									1	2						2																	1	2	2						7	13							2							1						
M_DeepCast_400m_m2_357	Deltaproteobacteria	Bacteria	74.13	19.9	72.55	7.84	3			1					1																																																										1	1																														1			2	1	2						2	8	1		1	1	1		4													
K_DeepCast_250m_m2_102	Deltaproteobacteria	Bacteria	90.65	0.97	100	0	6		1	2	1	1	1		1	1	1	1	1				1	1	1	1	1			1													1																								1																																					2												5	1	1	3									1		1						
K_DeepCast_100m_m1_326	Deltaproteobacteria	Bacteria	86.59	3.57	96.08	7.84	2								1																			1										1	1															3			1	1			1	1						1									1	1						1	1	1														1	1	1	1					2		2																1			1	
K_Offshore_120m_m2_200	Deltaproteobacteria	Bacteria	85.97	2.62	94.12	5.88	1			1		1	1																																																																							1			1			1																	1	1						1																						
K_DeepCast_100m_m1_199	Deltaproteobacteria	Bacteria	85.66	3.73	96.08	2.63	8			1		1			2																			1																																							1	1									1	1						1														2			3	4	4						2	6	1		1									1		1						
M_DeepCast_65m_m1_011	Deltaproteobacteria	Bacteria	85.57	3.55	98.04	9.8	1		1					1				1																																										1	1	1					1							1									1	1	1	1	3			1																		2	1					2		1														1					2	
K_DeepCast_1200m_m2_207	Deltaproteobacteria	Bacteria	89.72	7.49	78.43	2.63	1			1																																																										2						1									1	2						2																		1	1						4	10	2		1				1							1						
K_DeepCast_250m_mx_162	Deltaproteobacteria	Bacteria	72.28	32.26	72.55	19.61	1			2					1										1																																											2					1																																1	1	1	3	2					1	2	11	2	1			1		1													
K_DeepCast_300m_mx_218	Deltaproteobacteria	Bacteria	59.61	7.04	62.75	11.76	1			1		1	2			1		1					1		1					1																																																													1													1			1	1	2					1	5	2			3																	
K_DeepCast_250m_m2_302	Deltaproteobacteria	Bacteria	84.62	4.52	98.04	2.63	8			1						1	1	1	1				1	1	1	1				1																																						1					1	1										1						1														1				1	1						6	6	1						2					1								
M_DeepCast_400m_m1_009	Deltaproteobacteria	Bacteria	95.65	6.13	98.04	7.84	3			1																																		2	1																																																											3	1	1										4																				
K_DeepCast_150m_m2_113	Deltaproteobacteria	Bacteria	85.29	7.8	92.16	1.96	3			1					1				1						1	1	1																																									1																																				2	1	1	3	5	5						3	3		1	1				3							1						1
K_DeepCast_150m_m1_356	Deltaproteobacteria	Bacteria	95.78	6.56	96.08	0	4			1			1	1																								1	1																					2																																												1	1											5	1		1									1								
K_DeepCast_100m_m2_324	Deltaproteobacteria	Bacteria	80.75	1.34	98.04	1.96	3						1	2	1																			1										1																							1	1						1																																	1	1						2																	1	2				
M_DeepCast_100m_m2_116	Deltaproteobacteria	Bacteria	88.6	19.46	98.04	7.84	1			2		1			2	1	1	1	1															1																																		2					1	2									1	2						2														2			3	5	5						4	5	1		1				1					1		1	1					
K_Offshore_0m_m1_055	Deltaproteobacteria	Bacteria	80.53	1.31	76.47	7.89	3			2			1																																																									1																				1																		1						1																						
K_DeepCast_250m_m1_077	Deltaproteobacteria	Bacteria	85.33	5.51	98.04	5.88	4		1	2	1	1				1	1	1	1				1	1	1	1				1										1			1	1																							1	2																																						1								1		5	1		3									1								
K_DeepCast_100m_mx_276	Deltaproteobacteria	Bacteria	80.32	3.23	86.27	1.96	8			1		2	1		1												1							1																																		2					1	3									1	1						1														1		1	2	5	6						2	10	1	1	2				2					1		1						1
K_DeepCast_35m_m1_177	Deltaproteobacteria	Bacteria	74	3.01	96.08	3.92	13			2																																																																									1	1						1																																														
K_DeepCast_100m_m2_187	Deltaproteobacteria	Bacteria	19.7	0.73	47.06	3.92	1																																																										1	1																																																																						
K_DeepCast_100m_mx_210	Deltaproteobacteria	Bacteria	70.22	4.4	84.31	13.73	1					1																																1																2	2	2					1	2																	1	1																				1								1																						
M_DeepCast_400m_m1_331	Deltaproteobacteria	Bacteria	64.08	1.47	90.2	9.8	1					1	1																															1	1															1							1	1											1						1	1	1																				1							2		2															1	1				
M_DeepCast_200m_m2_133	Deltaproteobacteria	Bacteria	56.73	0.67	76.47	5.88	1			1								1																									1	1																																											1																	1			1		3					2				1	1													1				
K_DeepCast_100m_m2_189	Deltaproteobacteria	Bacteria	54.03	2.62	74.51	1.96	1			1																																																																									1	1						1																		1							1	7														1						
M_DeepCast_65m_m2_228	Deltaproteobacteria	Bacteria	42.02	0.73	72.55	11.76	1																																																																														1																							1	1																										1	
K_Offshore_surface_mx_035	Deltaproteobacteria	Bacteria	15.59	4.05	50.98	5.88	1																																																																													1																																																				
M_DeepCast_200m_mx_174	Deltaproteobacteria	Bacteria	10.74	1.1	47.06	3.92	1				1						1		1				1	1		1														1																												1																																																1	2		3																	
M_DeepCast_200m_mx_168	Deltaproteobacteria	Bacteria	8.19	0.52	47.06	1.96	1		1		2	1						1																										1																							1	1																																																1												1								
M_DeepCast_400m_m1_039	Deltaproteobacteria	Bacteria	43.93	1	68.63	5.88	1					1	1		1																												1	1																							1	1																							1																	2	1					1			1		1																	
K_Offshore_40m_mx_060	Deltaproteobacteria	Bacteria	16.38	0	58.82	1.96	1																																																																													1																																																				
M_DeepCast_100m_m2_010	Deltaproteobacteria	Bacteria	93.22	5.37	98.04	5.88	9																											1																																																								1								1	1									1						1																						
K_DeepCast_300m_mx_261	Deltaproteobacteria	Bacteria	37.55	6.5	54.9	7.84	2																1			1								1																																								1																														2												1		1	1																	
K_DeepCast_35m_m2_046	Deltaproteobacteria	Bacteria	88.96	8.55	92.16	5.88	1		1																									1																																																					1			1																		1							1												1									
K_DeepCast_100m_mx_244	Deltaproteobacteria	Bacteria	44.2	3.94	64.71	9.8	1																	1														2																																			1																			1																	1					1		3			1	1	1															
M_DeepCast_100m_mx_110	Deltaproteobacteria	Bacteria	28.1	4.06	50.98	5.88	1																1	1	1					1																																						1																1						1																		2	1						2	4	1		1				1													
M_DeepCast_50m_m2_156	Diapherotrites	Archaea	82.4	0.93	94.74	7.89	2																																				1																																																																																													
M_DeepCast_65m_mx_143	Diapherotrites	Archaea	27.12	8.66	72.55	9.8	1					1	2					1																															1																		1																																																																					
K_DeepCast_300m_m2_256	Euryarchaeota	Archaea	99.33	0	100	1.96	5																																					2	1	3						1	1	1						1																																									1	2	1	1										1		1	1	1	1									1								
M_DeepCast_200m_m1_298	Euryarchaeota	Archaea	98.27	2	100	5.26	7			2																																		1																																																												1											1	1	1	1	1			1								1						
M_DeepCast_400m_m2_325	Euryarchaeota	Archaea	54.81	0	57.89	3.92	2																																					1								1	1	1																																															2													1	2	2	1	1	1																	
K_Offshore_40m_m2_176	Fibrobacteres acidobacteria	Bacteria	98.26	0.87	100	1.96	6			1				1																			1																																																		1	1	1	1	2			1															1	1																1		1												
K_DeepCast_250m_m1_110	Fibrobacteres acidobacteria	Bacteria	90.35	6.87	100	5.88	7				2	1	1				1	4	1				1		1	1	1			1														2	1																							1																			1																			1	1	2	1							4							1					1		1		1				
K_DeepCast_65m_m2_251	Fibrobacteres acidobacteria	Bacteria	97.27	2.19	92.16	3.92	4			2			1	1																			2																																		1	1	1	1													1	2			4			1	1	1													1	1		1	1					2								1														
K_Offshore_80m_m2_003	Fibrobacteres acidobacteria	Bacteria	97.08	0.93	100	1.96	4			2			1	2																			2	2																											1	1					1	2	1	1				1									1	1			5			1															1	1	2	2	2							1						1		1									1	1		
K_Offshore_80m_m2_102	Fibrobacteres acidobacteria	Bacteria	96.52	2.78	100	2.63	2			2				1																			2																												1	1	1	1			1	1	1	1													1	1			7			1															1	1	1	2	2							2						1		1											1	
M_DeepCast_100m_m2_149	Fibrobacteres acidobacteria	Bacteria	91.62	4.82	98.04	1.96	4			1			1	1																			1																																																		1	2			2			1															2	1	1	1	3							1						1		1				1								
M_DeepCast_100m_mx_118	Fibrobacteres acidobacteria	Bacteria	89.42	2.29	92.16	3.92	4			2			1	1																			1																																		1	3	1	1													1	2			4			1	1	1																1	1					1								1		1				1								
K_DeepCast_250m_m2_119	Fibrobacteres acidobacteria	Bacteria	75.75	3.78	90.2	13.73	2			1		2	1				1	3	1				1	1	1	1	1													1						1															1						1	1					1										1	1						1	1	1														1		2	2					1		1		1	1									1							2	
M_DeepCast_50m_m2_162	Fibrobacteres acidobacteria	Bacteria	73.23	2.25	88.24	9.8	1			1			2	1																																																																									1			1							1								1		1	1	1															1												
M_DeepCast_100m_m2_066	Fibrobacteres acidobacteria	Bacteria	97.81	7.65	100	3.92	5			1			1																				2																														1	1					1	1													1	1			5			1	1	1													1	1	1	2	2					2		1						1		1											1	
M_DeepCast_200m_mx_065	Fibrobacteres acidobacteria	Bacteria	22.26	7.01	62.75	5.88	1																																																																												1	1			1																											2																					1	
K_DeepCast_150m_m2_056	Firmicutes	Bacteria	90.04	2.9	96.08	0	8			2																																																										1																																					1		2	1	2						2	6	1	1	2																	
M_surface_6_m1_040	Firmicutes	Bacteria	66.05	1.17	70.59	1.96	1																																																																																																																																	
M_DeepCast_65m_m1_284	Gammaproteobacteria	Bacteria	96.57	0	100	0	9		1	2			1	1				1													1	1		1	1	1	1								1		1	1	1																															1	1	1	1	1			1			1											1	1	1	1																							1									
K_Offshore_120m_m1_138	Gammaproteobacteria	Bacteria	74.75	10.95	86.27	21.57	1		1	1	2	1											1			1					1		2	1		3	1													3																														1	2	1		1						1						1					1	1		1			9	1	6					1	4	2						2					1						1	1		
M_surface_10_m2_141	Gammaproteobacteria	Bacteria	95.43	3.93	100	5.88	10		1	1			1	1																	1	1	1	1	1	2	1										1	1	1	2																																	1	1						1					1	1					1	1	1	1			2	1	3					2	3	1						2						1					1	1		
M_surface_6_mx_073	Gammaproteobacteria	Bacteria	73.96	40.31	76.47	17.65	1			2			2	2																																		1		1																																	2	1						1														1			1	1	1							2																				
M_DeepCast_65m_mx_133	Gammaproteobacteria	Bacteria	94.81	2.63	100	1.96	2			1			1	1																																																	1	1	1	1						2	1		1								1	1	1	1	1			1					1	1								1			4	2	2					1	1	3																				
M_DeepCast_100m_m1_014	Gammaproteobacteria	Bacteria	94.25	2.05	98.04	2.63	13			1			1	1																																																																					2	2	1	1	2			1					2	2		1	1					1												2											1									
M_surface_10_mx_057	Gammaproteobacteria	Bacteria	78.64	29.29	90.2	27.45	1			1			2	1																																																																																				1	1															1		1																				
M_surface_6_m2_085	Gammaproteobacteria	Bacteria	72.47	6.29	84.31	3.92	1			1			1																																																																																					1	1					1										2		1						1														
K_Offshore_40m_m1_049	Gammaproteobacteria	Bacteria	94.02	0	98.04	2.63	23							1																						1																																															1	1						1														1																																
M_surface_8_mx_141	Gammaproteobacteria	Bacteria	65.05	20.19	88.24	25.49	1			1		1	2																																																																						1	1						2	2	1																												1																
M_DeepCast_65m_mx_187	Gammaproteobacteria	Bacteria	97.96	21.68	100	23.53	1	1	1	2		1	1	2				2																		2	1								1		1	1	1	1	1																		1	1			2	1									1	1						3	2	3									3	2	1	1																							1									
K_Offshore_80m_m1_177	Gammaproteobacteria	Bacteria	91.91	4.17	100	2.63	6			2			1	1				1																																																																	1	1						1					1	2			1								2	2	3						1												1						1	1		
M_DeepCast_65m_m1_270	Gammaproteobacteria	Bacteria	59.52	6.01	76.47	5.88	3			1			1					1															1			1				1																				1			1	1				1	1			1											1	1						1											2		1		1	1								2																						
K_DeepCast_150m_m1_262	Gammaproteobacteria	Bacteria	7.29	0.01	56.86	1.96	5			1			1					1															1																																																		1	1																																																				
K_Offshore_120m_m2_034	Gammaproteobacteria	Bacteria	90.55	2.53	100	5.26	1						1	1																																																																					1	1						1								1	1					1										1		1						1														
K_Offshore_80m_m2_176	Gammaproteobacteria	Bacteria	89.82	1.58	100	0	4			1			1	1																																																										1											2	2	1	1	1			1								1	1					1											1																					
M_DeepCast_100m_m2_072	Gammaproteobacteria	Bacteria	87.42	0.5	100	2.63	22			1			1	1																																																																					1	1						1																								1		1						1														
K_Offshore_120m_m1_194	Gammaproteobacteria	Bacteria	73.91	2.25	84.31	3.92	2						1	1																																																																					1	1						1																										2						1														
M_DeepCast_10m_m1_110	Gammaproteobacteria	Bacteria	86.96	36.17	100	27.45	1			1			2	2																																																																																				1	1					1										1		2																				
M_surface_8_m1_253	Gammaproteobacteria	Bacteria	83.14	28.3	92.16	31.37	1			2			2	2																																																																						1						1								1						1										1		2						2														
K_Offshore_40m_m1_011	Gammaproteobacteria	Bacteria	82.44	11.53	78.43	17.65	1			1			1	1																																																																					2	2						1								1	1					1			2		2					1		1						1	1													
M_DeepCast_100m_mx_044	Gammaproteobacteria	Bacteria	81.99	21.26	100	13.73	1			1			2	1																																																																					1	1						1								1	1															1		2																				
M_surface_7_m1_262	Gammaproteobacteria	Bacteria	80.4	27.91	82.35	13.16	1			1																																																																									1	1						2														1					1					1																						
K_Offshore_surface_m1_044	Gammaproteobacteria	Bacteria	77.3	19.12	78.43	10.53	1			2																																																																									1	1						1								1	1					1			1		1					1		1						1														
K_Offshore_0m_mx_160	Gammaproteobacteria	Bacteria	75.81	16.14	68.63	17.65	1			1			1	1																																																																					1	1						1								1	1					1										2		1						1														
M_surface_9_mx_064	Gammaproteobacteria	Bacteria	70.6	20.08	70.59	7.84	1			2			1	1																																																																																				1	1															1		1																				
K_Offshore_40m_m1_054	Gammaproteobacteria	Bacteria	72.64	1.42	90.2	3.92	1			1																																																																									1	1						1																																														
K_Offshore_80m_m2_057	Gammaproteobacteria	Bacteria	64.63	0.38	96.08	0	13																																																																																																											1		1						1														
K_DeepCast_250m_m1_004	Gammaproteobacteria	Bacteria	65.28	25.51	72.55	19.61	1							1																																																																					1	1						2														1					1					1		1						1														
K_DeepCast_150m_m1_089	Gammaproteobacteria	Bacteria	43.44	7.8	52.94	3.92	1							1																																																																												2																								1								1														
M_surface_6_m1_057	Gammaproteobacteria	Bacteria	28.07	0	41.18	0	1					1																																																																													1	1	2	2																																												
M_surface_10_mx_151	Gammaproteobacteria	Bacteria	11.92	0.61	49.02	3.92	1																																																																																																																																	
K_DeepCast_100m_m2_315	Gammaproteobacteria	Bacteria	57.96	2.54	78.43	3.92	1			1																																																							2			1				2	2		1								1	1																							1								1	2																				
M_surface_9_m2_177	Gammaproteobacteria	Bacteria	57.56	0	92.16	5.88	2																																																																													1						1	1	1																																												
K_Offshore_80m_m1_208	Gammaproteobacteria	Bacteria	85.83	16.71	100	10.53	1						1																																																																						1	2						1								1	1					1										1		1						1														
M_surface_9_m2_068	Gammaproteobacteria	Bacteria	84.36	5.75	68.63	2.63	5						1	1																																																																					1	1						1														1										1		1						1														
K_DeepCast_35m_m1_077	Gammaproteobacteria	Bacteria	82.29	9.64	80.39	15.69	1						1	1																																																																					1	2						2																	1		1					1																						
M_DeepCast_100m_m1_331	Gammaproteobacteria	Bacteria	77.71	32.46	78.43	9.8	1							1																																																																					1	1						2														1			1							2		1						1														
K_Offshore_40m_mx_227	Gammaproteobacteria	Bacteria	74.84	8.84	78.43	17.65	1						1	1																																																																												1														1										1																						
K_Offshore_surface_m1_032	Gammaproteobacteria	Bacteria	64.23	5.64	60.78	11.76	1						2	2																																																																												2																								1																						
K_DeepCast_300m_m2_070	Gammaproteobacteria	Bacteria	63.14	23.38	64.71	11.76	1							1																																																																												2								1									1		1					1		2																				
K_Offshore_0m_mx_117	Gammaproteobacteria	Bacteria	53.05	8.31	76.47	9.8	1						1	1																																																																					1	2						1																	1		1					1																						
M_surface_9_m2_039	Gammaproteobacteria	Bacteria	49.55	0.36	78.43	2.63	8						1	1																																																																					1	1						1																			1							1																				
M_surface_9_mx_037	Gammaproteobacteria	Bacteria	39.99	0	70.59	0	5																																																																																																											1								1														
M_DeepCast_65m_mx_134	Gammaproteobacteria	Bacteria	21.65	2.17	52.94	0	1																																																																												1	1						1																										1						1														
K_DeepCast_65m_m1_161	Gammaproteobacteria	Bacteria	5.36	0	50.98	0	1																																																																																																																																	
K_DeepCast_100m_m2_290	Gammaproteobacteria	Bacteria	90.36	44.75	96.08	45.1	1						2	2																																																																						1						1																								1		2																				
K_Offshore_80m_m2_041	Gemmatimonadetes	Bacteria	98.9	4.4	96.08	1.96	2					1	1																				2																														1					1																			1			1															1	1	1	1	2					1								2														
K_Offshore_120m_m2_038	Gemmatimonadetes	Bacteria	97.8	2.75	100	5.26	3																										1																																										1	1							1	1						1																								1																						
K_Offshore_80m_m1_181	Gemmatimonadetes	Bacteria	97.44	2.2	96.08	0	2						1	1																																																					1	1							1	1							1	1	1	1	1			1																	1		1					1	2	1						1	1													
K_Offshore_40m_mx_046	Gemmatimonadetes	Bacteria	92.31	4.4	100	3.92	5																										1																																																		1	1						1	1													1										1		1																				
M_DeepCast_65m_m1_262	Gemmatimonadetes	Bacteria	85.71	1.1	90.2	3.92	5			1					2																														1																						1	1								1							1	1	1	1	1			1														1				1	1					1																1						2
M_DeepCast_50m_m2_218	Gemmatimonadetes	Bacteria	95.6	5.04	98.04	3.92	22																																																																												1	1						1	1													1										1																						
M_surface_7_m1_048	Gemmatimonadetes	Bacteria	60.39	1.28	50.98	0	2																																																																																																											1																						
M_DeepCast_400m_m2_225	Gemmatimonadetes	Bacteria	59.06	0.27	68.63	7.84	1					1																																																																														1														1				1	1					1		1																				
M_DeepCast_65m_mx_163	Gemmatimonadetes	Bacteria	49.56	4.59	58.82	9.8	1																																																											1	2	3																		1	1			1																		1						1										1												
K_DeepCast_250m_m2_025	Gemmatimonadetes	Bacteria	32	0	43.14	0	1																																						1																							1																1			1																																													1				
K_Offshore_120m_m2_168	Gemmatimonadetes	Bacteria	30.87	2.2	50.98	0	1																										1																														1	1																																												1	1																											
K_DeepCast_100m_m2_316	Ignavibacteria	Bacteria	97.8	1.09	98.04	0	9		1									1																									1	1	2																				1	1		2							1	1							1	1						1	1	1																2	1																			2								
M_surface_10_mx_236	Ignavibacteria	Bacteria	96.99	4.46	100	0	22			1			1	1																																																								1													1	1						1																																														
K_DeepCast_100m_m2_176	Ignavibacteria	Bacteria	96.37	0.56	100	5.26	9		1	1								1																				1		1				1																							1	2		1					1	1							1		1	1	1			1																		1						2														1		1						
K_Offshore_80m_m2_224	Ignavibacteria	Bacteria	95.9	0.87	98.04	1.96	2																																																															1														1						1																																	1													
M_DeepCast_400m_m2_062	Ignavibacteria	Bacteria	95.06	3.48	100	2.63	6		1									2																									1	1																							1	1							1	1							1	1						1	1	1																2	2							1							1													
K_Offshore_0m_mx_139	Ignavibacteria	Bacteria	93.72	0.56	98.04	1.96	22																																																															1														1						1																																	1													
M_DeepCast_65m_m1_282	Ignavibacteria	Bacteria	93.59	2.19	98.04	7.89	3																											1									1																						1	1		1						1																1																		1																			1			1						
K_DeepCast_100m_m2_118	Ignavibacteria	Bacteria	92.06	1.64	100	0	9		1									1																						1			1	2																					1	1		2															1	1						1																1		2								1														1						
K_DeepCast_250m_m1_364	Ignavibacteria	Bacteria	90.71	3.28	100	2.63	5											1																				1						1																							1	1											1				1	1						1	1	1														1		1								1												1								
K_DeepCast_100m_m2_241	Kirimatiellacea	Bacteria	54.86	1.38	68.63	3.92	1						1	1																																												1	1	1								1	1	1																																												1														1								
K_DeepCast_100m_m2_028	Lentisphaerae	Bacteria	96.11	4.65	96.08	0	8							1																								1		1					1																						1	1																							1	1																								3												2								
M_DeepCast_400m_m2_230	Lentisphaerae	Bacteria	93.92	0.68	94.12	0	7			1		1	1																														1	1		1																																																										1													1	1	1									1								
M_DeepCast_200m_m2_085	Lentisphaerae	Bacteria	93.24	1.38	98.04	0	3							1																								2																																																																																																		
K_DeepCast_250m_m2_056	Lentisphaerae	Bacteria	91.89	4.73	96.08	3.92	6						2	3																								1					1																																																																									1												1								
M_DeepCast_200m_m2_127	Lentisphaerae	Bacteria	32.27	0	49.02	1.96	2						1																																																																																																																											
K_DeepCast_250m_m2_117	CP Micrarchaeota	Archaea	69.78	15.62	86.84	23.68	3																																																																																																										1	1									1													
K_DeepCast_150m_m2_121	CP Micrarchaeota	Archaea	48.84	0	65.79	0	1																																																																																																										1	1																						
K_Offshore_80m_m2_121	Nitrospirae	Bacteria	98.13	2.78	96.08	0	13			1				1																			1																												1	1									1									1	1	1									1	1												1										2						1	1			1			1									
M_DeepCast_50m_m2_151	Nitrospirae	Bacteria	96.82	4.22	94.12	5.88	13			2				1																																	1	1	1						1						1	1								1	3									1	1	1																																1						1	1						1									
M_DeepCast_65m_m2_155	Nitrospirae	Bacteria	96.76	2.73	98.04	0	4						2	1																			1																												2	1	1							1	1									2	2	2					1				1	1												1										1		1				1	1			2			1	1								
K_DeepCast_150m_m2_200	Nitrospirae	Bacteria	95.45	6.72	98.04	7.89	3			1	1	1				1	1	1	1				1	1	1	1	1			1													1	1																								2																																				1												3	1	1	1									1								
M_DeepCast_65m_mx_150	Nitrospirae	Bacteria	96.82	5.78	98.04	3.92	1			2			1	1																													1				1	1							1						1	1								1	3									1	1	1					1																																	1	1			2			1									
M_DeepCast_200m_m2_046	Nitrospirae	Bacteria	94.32	3.64	96.08	5.26	2		1		1					1	1	1	1				1	1	1	1	1			1										1			1	1																																																												1												3	1	1	1									1								
K_Offshore_80m_m2_040	Nitrospirae	Bacteria	94.09	3.92	98.04	0	19							1																																															1	1		1							1									1	1	1																																						1	1			1			1									
