NCBI Genome Submission ID	NCBI BioSample Submission ID	Genome (MAG Identifier)	TaxAss-kingdom	TaxAss-phylum	TaxAss-class	TaxAss-order	TaxAss-lineage	TaxAss-clade	TaxAss-tribe	Congruent Taxonomy	Candidate phyla	DPANN	Domain	Number of MAG in cluster dRep	Completeness DasTool	Contamination DasTool	Taxonomy GTDB-Tk	Taxonomy NCBI	Strain name	Genome completeness CheckM	Genome contamination CheckM	Strain heterogeneity CheckM	16S rRNA phylogeny CheckM	Number of ambiguous bases	Number of contigs	Number of  predicted genes	Number of scaffolds	Coding density	GC	GC std	Genome size (bp)	Longest contig	Longest scaffold	Mean contig length	Mean scaffold length	N50 (contigs)	N50 (scaffolds)	Translation table	tRNAs decoding Standard 20 AA	Selenocysteine tRNAs	Possible suppressor tRNAs	tRNAs with undetermined/unknown isotypes	Predicted pseudogenes	Total tRNAs
VGTZ00000000	SAMN10966777	M_surface_9_mx_064								Gammaproteobacteria			Bacteria	24	70.59	7.84	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_surface_9_mx_064 [Class]	70.6	20.08	60.19		0	465	2632	465	0.943	0.61	0	2431179	61706	61706	5228	5228	9916	9916	11	54	0	0	0	1	55
VGUB00000000	SAMN10966779	M_surface_10_mx_057	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	24	90.2	27.45	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_surface_10_mx_057 [Class]	78.64	29.29	39.22		0	389	2832	389	0.954	0.62	0	2719969	107672	107672	6992	6992	11262	11262	11	48	0	0	0	0	48
VGTX00000000	SAMN10966775	M_surface_9_m2_177								Gammaproteobacteria			Bacteria	2	92.16	5.88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Berkiellales;f__;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_surface_9_m2_177 [Class]	57.56	0	0		0	205	1119	205	0.916	0.38	0	1152751	30225	30225	5623	5623	7339	7339	11	31	0	0	0	0	31
VGUE00000000	SAMN10966782	K_Offshore_0m_mx_160								Gammaproteobacteria			Bacteria	24	68.63	17.65	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_Offshore_0m_mx_160 [Class]	75.81	16.14	66.67		0	1070	3375	1070	0.952	0.62	0	2706451	22642	22642	2529	2529	2866	2866	11	21	0	0	1	0	22
VGUF00000000	SAMN10966783	K_DeepCast_100m_m2_290								Gammaproteobacteria			Bacteria	24	96.08	45.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_DeepCast_100m_m2_290 [Class]	90.36	44.75	51.02		0	1012	3692	1012	0.955	0.63	0	3057717	16858	16858	3021	3021	3196	3196	11	28	0	0	0	0	28
VGHQ00000000	SAMN10966455	K_Offshore_40m_m1_049								Gammaproteobacteria			Bacteria	23	98.04	2.63	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Methylophilaceae;g__Methylopumilus;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__Betaproteobacteriales;f__Methylophilaceae;g__Methylopumilus;s__	Methylopumilus sp. K_Offshore_40m_m1_049 [Genus]	94.02	0	0		0	24	1258	24	0.947	0.36	0	1206401	297221	297221	50267	50267	149636	149636	11	33	0	0	0	1	34
VGUI00000000	SAMN10966786	M_DeepCast_100m_m1_331								Gammaproteobacteria			Bacteria	17	78.43	9.8	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_DeepCast_100m_m1_331 [Class]	77.71	32.46	76.65		0	888	3909	888	0.939	0.60	0	3407194	38648	38648	3837	3837	4406	4406	11	43	0	0	0	2	45
VGUA00000000	SAMN10966778	M_surface_10_m2_141								Gammaproteobacteria			Bacteria	10	100	5.88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_surface_10_m2_141 [Class]	95.43	3.93	14.29		0	189	3122	189	0.929	0.63	0	3079122	163455	163455	16292	16292	28507	28507	11	40	0	1	1	0	42
VGUL00000000	SAMN10966789	M_DeepCast_100m_mx_044	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	24	100	13.73	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_DeepCast_100m_mx_044 [Class]	81.99	21.26	28.89		0	358	2812	358	0.953	0.62	0	2727404	123146	123146	7618	7618	14890	14890	11	47	0	0	0	0	47
VGUM00000000	SAMN10966790	M_DeepCast_10m_m1_110	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	24	100	27.45	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_DeepCast_10m_m1_110 [Class]	86.96	36.17	40		0	525	3293	525	0.952	0.62	0	3134039	112685	112685	5970	5970	8538	8538	11	46	0	0	0	0	46
VGUZ00000000	SAMN10966803	M_DeepCast_65m_m1_270								Gammaproteobacteria			Bacteria	3	76.47	5.88	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__Methylococcales;f__;g__;s__	Methylococcales bacterium M_DeepCast_65m_m1_270 [Order]	59.52	6.01	11.54		0	1058	3266	1058	0.880	0.64	0	2810983	12086	12086	2657	2657	2741	2741	11	21	0	0	0	2	23
VGVA00000000	SAMN10966804	M_DeepCast_65m_m1_284	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	Methylococcales(83)	Methylomonaceae(83)	unclassified	unclassified	Gammaproteobacteria			Bacteria	9	100	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloglobulus;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloglobulus;s__	Methyloglobulus sp. M_DeepCast_65m_m1_284 [Genus]	96.57	0	0	Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methylomonas;Methylomonas lenta	0	212	2739	212	0.870	0.48	0	2475407	82809	82809	11676	11676	17743	17743	11	34	0	0	0	1	35
VGUQ00000000	SAMN10966794	K_DeepCast_150m_m1_089								Gammaproteobacteria			Bacteria	17	52.94	3.92	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_DeepCast_150m_m1_089 [Class]	43.44	7.8	66.67		0	579	1873	579	0.947	0.61	0	1491430	15300	15300	2576	2576	2644	2644	11	11	0	0	0	0	11
VGUS00000000	SAMN10966796	K_DeepCast_250m_m1_004								Gammaproteobacteria			Bacteria	17	72.55	19.61	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_DeepCast_250m_m1_004 [Class]	65.28	25.51	73.39		0	832	2853	832	0.942	0.61	0	2321166	13307	13307	2790	2790	2877	2877	11	20	0	0	0	0	20
VGUT00000000	SAMN10966797	K_DeepCast_300m_m2_070								Gammaproteobacteria			Bacteria	24	64.71	11.76	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_DeepCast_300m_m2_070 [Class]	63.14	23.38	31.07		0	993	3109	993	0.956	0.63	0	2498559	18559	18559	2516	2516	2473	2473	11	17	0	0	0	0	17
VGVE00000000	SAMN10966808	K_Offshore_80m_m1_177	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	KI89A_clade(98)	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	6	100	2.63	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__Pseudomonadales;f__;g__;s__	Pseudomonadales bacterium K_Offshore_80m_m1_177 [Order]	91.91	4.17	15.79	Bacteria;Proteobacteria;Gammaproteobacteria;KI89A clade;uncultured bacterium	0	279	4231	279	0.913	0.59	0	3939133	91974	91974	14119	14119	26135	26135	11	38	0	1	0	1	40
VGUV00000000	SAMN10966799	K_Offshore_40m_m1_011	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	24	78.43	17.65	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_Offshore_40m_m1_011 [Class]	82.44	11.53	76.92		0	574	3352	574	0.948	0.61	0	3205130	72375	72375	5584	5584	7318	7318	11	44	0	0	1	1	46
VGTQ00000000	SAMN10966768	M_surface_6_m2_085								Gammaproteobacteria			Bacteria	24	84.31	3.92	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_surface_6_m2_085 [Class]	72.47	6.29	77.27		0	356	2300	356	0.955	0.62	0	2192707	52928	52928	6159	6159	8098	8098	11	21	0	0	0	0	21
VGUY00000000	SAMN10966802	K_DeepCast_65m_m1_161								Gammaproteobacteria			Bacteria	1	50.98	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_DeepCast_65m_m1_161 [Class]	5.36	0	0		0	31	258	31	0.894	0.65	0	228308	49066	49066	7365	7365	12426	12426	11	6	0	0	0	0	6
VGTW00000000	SAMN10966774	M_surface_9_m2_068	Bacteria(83)	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	17	68.63	2.63	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_surface_9_m2_068 [Class]	84.36	5.75	53.85		0	219	2382	219	0.940	0.61	0	2358192	87636	87636	10768	10768	16661	16661	11	33	0	0	0	0	33
VGVC00000000	SAMN10966806	M_DeepCast_65m_mx_134	Bacteria(100)	Bacteroidetes(100)	Ignavibacteria(100)	OPB56(100)	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	25	52.94	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_DeepCast_65m_mx_134 [Class]	21.65	2.17	28.57	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadales Incertae Sedis;Acidibacter;uncultured bacterium	0	96	724	96	0.932	0.58	0	676658	147953	147953	7049	7049	31992	31992	11	8	0	0	0	1	9
VGVF00000000	SAMN10966809	K_Offshore_80m_m1_208	Bacteria(89)	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	17	100	10.53	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_Offshore_80m_m1_208 [Class]	85.83	16.71	82.09		0	417	2746	417	0.944	0.62	0	2568346	58816	58816	6159	6159	8643	8643	11	42	0	0	0	1	43
VGUD00000000	SAMN10966781	K_Offshore_0m_mx_117	Bacteria(100)	Actinobacteria(100)	Actinobacteria(100)	PeM15(95)	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	17	76.47	9.8	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_Offshore_0m_mx_117 [Class]	53.05	8.31	15.22	Bacteria;Proteobacteria;Deltaproteobacteria;Bradymonadales;uncultured delta proteobacterium	0	1285	3552	1285	0.912	0.59	0	2761619	38331	38331	2149	2149	2347	2347	11	46	0	0	0	2	48
VGUH00000000	SAMN10966785	M_DeepCast_100m_m1_014	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	PLTA13(100)	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	13	98.04	2.63	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_DeepCast_100m_m1_014 [Class]	94.25	2.05	0	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;uncultured;uncultured bacterium	0	46	2375	46	0.932	0.69	0	2370162	187911	187911	51525	51525	96120	96120	11	42	0	0	0	1	43
VGVJ00000000	SAMN10966813	K_Offshore_surface_m1_044								Gammaproteobacteria			Bacteria	24	78.43	10.53	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_Offshore_surface_m1_044 [Class]	77.3	19.12	75.86		0	722	3367	722	0.952	0.62	0	3117966	40960	40960	4319	4319	5183	5183	11	27	0	0	1	0	28
VGUJ00000000	SAMN10966787	M_DeepCast_100m_m2_072	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	25	100	2.63	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_DeepCast_100m_m2_072 [Class]	87.42	0.5	33.33		0	27	1704	27	0.958	0.61	0	1805733	273096	273096	66879	66879	156524	156524	11	31	0	0	0	0	31
VGUO00000000	SAMN10966792	K_Offshore_120m_m1_194								Gammaproteobacteria			Bacteria	25	84.31	3.92	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_Offshore_120m_m1_194 [Class]	73.91	2.25	84.62		0	235	1916	235	0.939	0.60	0	1805102	49285	49285	7681	7681	11265	11265	11	27	0	0	1	0	28
VGUP00000000	SAMN10966793	K_Offshore_120m_m2_034	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	17	100	5.26	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_Offshore_120m_m2_034 [Class]	90.55	2.53	66.67		0	254	2600	254	0.949	0.62	0	2557637	71810	71810	10069	10069	15977	15977	11	34	0	0	0	0	34
VGUU00000000	SAMN10966798	K_DeepCast_35m_m1_077								Gammaproteobacteria			Bacteria	17	80.39	15.69	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_DeepCast_35m_m1_077 [Class]	82.29	9.64	91.67		0	722	3797	722	0.926	0.58	0	3429140	39849	39849	4750	4750	6339	6339	11	62	0	0	2	2	66
VGUX00000000	SAMN10966801	K_Offshore_40m_mx_227								Gammaproteobacteria			Bacteria	17	78.43	17.65	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_Offshore_40m_mx_227 [Class]	74.84	8.84	77.55		0	498	2156	498	0.942	0.61	0	1940038	45349	45349	3896	3896	6396	6396	11	24	0	0	0	2	26
VGVN00000000	SAMN10966817	K_Offshore_120m_m2_168								Gemmatimonadetes			Bacteria	1	50.98	0	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__;f__;g__;s__	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	Acidobacteriota bacterium K_Offshore_120m_m2_168 [Phylum]	30.87	2.2	0		0	512	1580	512	0.902	0.66	0	1294880	16570	16570	2529	2529	2571	2571	11	17	0	0	0	0	17
VGVO00000000	SAMN10966818	K_DeepCast_250m_m2_025								Gemmatimonadetes			Bacteria	1	43.14	0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__;s__	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__;g__;s__	SG8-23 bacterium K_DeepCast_250m_m2_025 [Order]	32	0	0		0	558	1468	558	0.935	0.71	0	1209575	5997	5997	2168	2168	2152	2152	11	10	0	0	0	0	10
VGVP00000000	SAMN10966819	M_DeepCast_65m_mx_163								Gemmatimonadetes			Bacteria	1	58.82	9.8	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__;s__	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__;g__;s__	SG8-23 bacterium M_DeepCast_65m_mx_163 [Order]	49.56	4.59	0		0	1565	3603	1565	0.918	0.70	0	2756669	7436	7436	1761	1761	1837	1837	11	30	0	0	0	1	31
VGVB00000000	SAMN10966805	M_DeepCast_65m_mx_133	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	PLTA13(100)	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	2	100	1.96	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium M_DeepCast_65m_mx_133 [Class]	94.81	2.63	0	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;uncultured;uncultured bacterium	0	127	2909	127	0.930	0.70	0	2958691	226881	226881	23297	23297	50630	50630	11	39	0	0	0	2	41
VGVG00000000	SAMN10966810	K_Offshore_80m_m2_057								Gammaproteobacteria			Bacteria	13	96.08	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_Offshore_80m_m2_057 [Class]	64.63	0.38	0		0	29	1383	29	0.934	0.58	0	1393987	206021	206021	48069	48069	108385	108385	11	30	0	0	0	1	31
VGVI00000000	SAMN10966812	K_Offshore_surface_m1_032								Gammaproteobacteria			Bacteria	17	60.78	11.76	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Steroidobacterales;f__Steroidobacteraceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_Offshore_surface_m1_032 [Class]	64.23	5.64	91.3		0	420	1712	420	0.953	0.62	0	1452508	19054	19054	3458	3458	3913	3913	11	17	0	0	1	1	19
VGUG00000000	SAMN10966784	K_DeepCast_100m_m2_315								Gammaproteobacteria			Bacteria	1	78.43	3.92	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_DeepCast_100m_m2_315 [Class]	57.96	2.54	8.33		0	602	2078	602	0.935	0.65	0	1663806	14952	14952	2764	2764	2834	2834	11	22	0	0	0	0	22
VGVH00000000	SAMN10966811	K_Offshore_80m_m2_176	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	JG36-GS-52(100)	unclassified	unclassified	unclassified	Gammaproteobacteria			Bacteria	4	100	0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_Offshore_80m_m2_176 [Class]	89.82	1.58	20	Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;uncultured;uncultured bacterium	0	75	2666	75	0.931	0.66	0	2796710	417744	417744	37289	37289	127664	127664	11	48	0	0	1	1	50
VGUW00000000	SAMN10966800	K_Offshore_40m_m1_054								Gammaproteobacteria			Bacteria	1	90.2	3.92	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA7916;f__;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__;f__;g__;s__	Gammaproteobacteria bacterium K_Offshore_40m_m1_054 [Class]	72.64	1.42	60		0	117	1235	117	0.940	0.41	0	1154426	40804	40804	9867	9867	17914	17914	11	30	0	0	0	1	31
VGVK00000000	SAMN10966814	M_surface_7_m1_048								Gemmatimonadetes			Bacteria	24	50.98	0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__;f__Gemmatimonadaceae;g__;s__	Gemmatimonadaceae bacterium M_surface_7_m1_048 [Family]	60.39	1.28	100		0	94	916	94	0.958	0.68	0	927463	61240	61240	9867	9867	15626	15626	11	35	0	1	0	0	36
VGVM00000000	SAMN10966816	K_Offshore_120m_m2_038								Gemmatimonadetes			Bacteria	3	100	5.26	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__;g__;s__	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__;f__;g__;s__	Gemmatimonadetes bacterium K_Offshore_120m_m2_038 [Class]	97.8	2.75	0		0	191	2839	191	0.940	0.68	0	3080682	165877	165877	16129	16129	35433	35433	11	46	0	0	0	1	47
VGVQ00000000	SAMN10966820	K_Offshore_80m_m1_181								Gemmatimonadetes			Bacteria	2	96.08	0	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__;s__	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__;f__;g__;s__	Gemmatimonadetes bacterium K_Offshore_80m_m1_181 [Class]	97.44	2.2	0		0	49	3526	49	0.938	0.68	0	3884958	587654	587654	79285	79285	161462	161462	11	45	0	0	0	0	45
VGVR00000000	SAMN10966821	K_Offshore_80m_m2_041	Bacteria(100)	Gemmatimonadetes(100)	BD2-11_terrestrial_group(100)	unclassified	unclassified	unclassified	unclassified	Gemmatimonadetes			Bacteria	2	96.08	1.96	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__UBA6960;g__;s__	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__SG8-23;f__;g__;s__	SG8-23 bacterium K_Offshore_80m_m2_041 [Order]	98.9	4.4	0	Bacteria;Gemmatimonadetes;BD2-11 terrestrial group;uncultured soil bacterium	0	97	3228	97	0.920	0.68	0	3374563	217615	217615	34789	34789	82236	82236	11	47	0	1	0	1	49
VGZS00000000	SAMN10966927	M_DeepCast_400m_m2_225								Gemmatimonadetes			Bacteria	1	68.63	7.84	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA1151;f__;g__;s__	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__;f__;g__;s__	Dehalococcoidia bacterium M_DeepCast_400m_m2_225 [Class]	59.06	0.27	0		0	661	1844	661	0.896	0.69	0	1561761	8622	8622	2363	2363	2341	2341	11	21	0	0	0	0	21
VHBO00000000	SAMN10966975	K_Offshore_40m_mx_046	Bacteria(100)	Gemmatimonadetes(100)	Gemmatimonadetes(100)	Gemmatimonadales(100)	Gemmatimonadaceae(100)	unclassified	unclassified	Gemmatimonadetes			Bacteria	5	100	3.92	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__;f__Gemmatimonadaceae;g__;s__	Gemmatimonadaceae bacterium K_Offshore_40m_mx_046 [Family]	92.31	4.4	0	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;marine metagenome	0	129	2113	129	0.947	0.70	0	2279195	264434	264434	17668	17668	56320	56320	11	51	0	1	0	0	52
VHBP00000000	SAMN10966976	M_DeepCast_50m_m2_218	Bacteria(100)	Gemmatimonadetes(100)	Gemmatimonadetes(100)	Gemmatimonadales(100)	Gemmatimonadaceae(100)	unclassified	unclassified	Gemmatimonadetes			Bacteria	24	98.04	3.92	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__;s__	d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__;f__Gemmatimonadaceae;g__;s__	Gemmatimonadaceae bacterium M_DeepCast_50m_m2_218 [Family]	95.6	5.04	71.43	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;uncultured bacterium	0	120	1970	120	0.952	0.68	0	2069953	114789	114789	17250	17250	43316	43316	11	45	0	1	0	0	46
